Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
#0005 ERGnomes Halloween '21 Special,Artist spirit,The popart,Human,Moon,Questionablestyle,Witch,Surprised,1088.329355,a0703e19ef3ce154f3f6401445de3cb1b56d6f53a791eec0588bd1d1609f8aeb,11
#0006 ERGnomes Halloween '21 Special,Smelly,The tribal spirit,Monkey,Dizzy,Naked,Eggplant,Thug,1022.002582,fd164add009ea46fb2ab43c17760ddb357193d3ed11300f8fdb4be72013d1e32,12
#0025 ERGnomes Halloween '21 Special,Loud,The tribal spirit,Human,Dollars $,Questionablestyle,Witch,Chill,1016.687302,93b1a5f657a001dacb7d7bf067eed3893903dfdd7414042799273044711d3a6d,13
#0159 ERGnomes Halloween '21 Special,Spacewalker spirit,The lemonboy,Banana,Strength,Circus,Starfish,Angry,1015.003087,98b58b4bc96626ebac9bf3423124b6f4104cc2980230fc2f8e73705964e6574c,14
#0026 ERGnomes Halloween '21 Special,Dangeous spirit,The fairy,Demon,Blockchain,Funkystar,Clown,Happy,987.9319652,8f10bd40a0d1ebaae882279aed9a9fe036f7857ca85d0b9bd79cae1a726fe0b6,15
#0044 ERGnomes Halloween '21 Special,Spacewalker spirit,Potion blue,Dark robot,White spiral,Punk,Duck,Worried,966.8726696,81d236675a5a88b867382bc9c657b88922af641e329e741e0454299f1604b7c5,16
#0089 ERGnomes Halloween '21 Special,Chill spirit,The messy serial killer,No ears,Hearts,Octopus,Iron,Chill,958.4881682,99f97be3174680cd487d52976c6fa175b560e14b110186be87971fd2878595f3,17
#0192 ERGnomes Halloween '21 Special,Contrasting vibes,The messy serial killer,Sea monster,Naughty,Sherlock,Hook,Monobrow,949.3241236,4d152f9c6c2aa5f45e4aefc927b67f11641c06c020f5ce8b5a79b3e54aab5da2,18
#0004 ERGnomes Halloween '21 Special,Artist spirit,The messy serial killer,Occultist,Tears,Questionablestyle,Disguise,Thug,914.0861846,8e665cb0451b2d2a6b85dba055cf330c6b96a65af134cd84a712145c32645b38,19
#0072 ERGnomes Halloween '21 Special,Calm,The lemonboy,Monkey,Peace,Naked,Disguise,Angry,901.7512077,db4783b68c52b0e4679be5adbdde9225725713715e70bed3255e89723093f623,20
#0141 ERGnomes Halloween '21 Special,One with nature,The messy serial killer,Banana,Bitcoin $BTC,Sherlock,Clown,Confused,867.9192531,cfe8353072dbe09c2d839ee0cc0b5ead38158b1eae0044a3477fdd48fd944eeb,21
#0197 ERGnomes Halloween '21 Special,Spacewalker spirit,The raging pumpkin,Pumpkin,Spiderling,Sherlock,Iron,Monobrow,838.726388,6e3438e8f6bac2e04fe72c79c9ca38aeae5cc8cbe205edd75be3999e80170a44,22
#0166 ERGnomes Halloween '21 Special,Night watch,The messy serial killer,Sea monster,KO,Punk,Pig,Surprised,786.5351243,9c98ee36087b1a02aa832ee4cd3d423cbe7e2a3d4f27edd7f462773b82bc1ab7,23
#0009 ERGnomes Halloween '21 Special,Goodboi,The fairy,Occultist,Baby,Octopus,Witch,Annoyed,776.0056926,40cc70a43139e4909332b8579aecaf9615e82151a9ad4b0f034c60881e5d9432,24
#0095 ERGnomes Halloween '21 Special,Sweet,The popart,Tropical fish,Yellow,Funkystar,Sticknose,Angry,765.2020624,ff5e128f0c4547fb717165a0ec0ef1b66b1e26330c72905c459bada5e89c5fd6,25
#0075 ERGnomes Halloween '21 Special,Amiable,Charcoal,Imp,Hearts,Naked,Hook,Thug,765.1972957,05fa1127d60b9e49accc8e6919896ba2f2a2648c28e8f7a9bd328618a695e7f7,26
#0015 ERGnomes Halloween '21 Special,Thinker,The sunset,Infested,White spiral,Octopus,Sticknose,Monobrow,744.8039215,28a53d19a05f1de85909c76060ecdb64d50e363943a8e75ddbcc41646c7123b8,27
#0271 ERGnomes Halloween '21 Special,Chill spirit,The sunset,Sea monster,Naughty,Funkystar,Hook,Thug,732.8384127,fb3183ca128f00de0df6a73b45c058b233efe403bbc7770291b69ced48043f6b,28
#0156 ERGnomes Halloween '21 Special,Horny,The funky funk,Tropical fish,Moon,Funkystar,Carrot,Thug,727.4195179,ad6a7661c4513d852e298ffd92381bbddf936ae31f1b8c62cd9a50f988fb9de6,29
#0368 ERGnomes Halloween '21 Special,Chill spirit,The sunset,Infested,No Eyes,Sherlock,Root,Thug,724.4293218,0ef444d15a8f504637c3c650b2a53d44980c8549e5213c20587b0ec79a1a2c71,30
#0340 ERGnomes Halloween '21 Special,Thinker,The tribal spirit,Easter bunny,Dead,Chicken,4:20,Annoyed,700.1280082,1f66d9ac3badc470242ec1d5a528e6d075c7359c707b8d2c35c604a33126b5d5,31
#0091 ERGnomes Halloween '21 Special,Non conforming,The funky funk,Spirit,Warlock,Funkystar,Disguise,Monobrow,698.6928105,391c2ad9c675e09b60b8f9bfcec71450ba4162337b14dffd55017a13e68a783e,32
#0066 ERGnomes Halloween '21 Special,Non conforming,Potion blue,Demon,Arcane,Circus,4:20,Confused,694.3238839,e36b3b649462e009cc459b4b1b2679206d41a1396c0179c0eda3b8f715ef12cd,33
#0143 ERGnomes Halloween '21 Special,Joyful,The vaporwave,Demon,Harmony $ONE,Punk,Iron,Angry,692.2237907,945598b3daded6dd52750c3e479e60b0ff436ea87ca73dcacb0cd39648af5501,34
#0241 ERGnomes Halloween '21 Special,Spacewalker spirit,Charcoal,Spirit,Arcane,Chicken,Hook,Thug,687.7658383,2151ce35055fb4af42da7a05f7039111a69fa58b63c6cc0211d0de1ad1e8754e,35
#0239 ERGnomes Halloween '21 Special,Feisty,Rotten veggies,Infested,White spiral,Funkystar,Root,Surprised,685.7936301,c98d45a2bce7bac4aaa0cfe7f67ff8646229b867ad6a87e6624cfc708ce59f22,36
#0135 ERGnomes Halloween '21 Special,Easily excitable,The eggplantboy,Banana,Thunders,Punk,4:20,Monobrow,678.9705882,54c1de61daf5f05a385187b93edc1eda13404e9a94de0e37f1877d3ce8b0c60c,37
#0165 ERGnomes Halloween '21 Special,Dangeous spirit,The magical,Imp,White spiral,Chicken,Starfish,Annoyed,678.2232463,9d33c586ea3930c0eb4f2df23fd46b61748e845139fbbe7725115a7775f06a75,38
#0147 ERGnomes Halloween '21 Special,Spacewalker spirit,The magical,Easter bunny,Yellow,Root,Eggplant,Chill,661.4871073,a3d5b2755c1a629d9941e9d1f31c48efd7af5310c5cb5a305cec2fbcdf55813a,39
#0251 ERGnomes Halloween '21 Special,Chill spirit,Kawaii,Sea monster,Lucky,Chicken,Root,Happy,658.9167015,9eeeda1044eba2a4f2f59a4c0458980eab622e4489213f918eb21e2a3db57648,40
#0194 ERGnomes Halloween '21 Special,Soft spoken,The tribal spirit,Fairy nymnph,Blockchain,Octopus,4:20,Angry,653.3510407,c1d6257af759d09e43b6d71dd15270825f959fbf5d772953d8ebe1fe523ef1ef,41
#0086 ERGnomes Halloween '21 Special,Dangeous spirit,The fairy,Monkey,Tears,Circus,Sticknose,Angry,650.4139184,c270f714d970d557aaaa629a19fed995c27847065ac6abee12a92fd2f5349611,42
#0117 ERGnomes Halloween '21 Special,Fancy,The messy serial killer,Cocker spaniel,Matrix,Questionablestyle,Carrot,Surprised,642.5508152,900de49e6a2e2bb4afa4d808a672118990515814a74d8c11bf70636d758bcb5f,43
#0173 ERGnomes Halloween '21 Special,Spacewalker spirit,English tan,Infested,Cat,Devil,Cat,Angry,636.2738081,71951ae238a238039a28bba642717b2057f0ba02e2be3de2c0c93aa52030d21f,44
#0345 ERGnomes Halloween '21 Special,One with nature,The rotten potato,Easter bunny,Thunders,Nerd,Hook,Annoyed,635.0847182,f2045fcd5e2ad9ef2c67ca9a5e51a2233de3754d1ba95c911b8e4f35963dfe55,45
#0065 ERGnomes Halloween '21 Special,Queen,Flashy Sandra,Tropical fish,Dead,Sherlock,Hook,Chill,630.3625847,deda9bea64145c1cdb21fd0f71a84b0dfa348728f3f5ae60208807c1e3958283,46
#0400 ERGnomes Halloween '21 Special,Fierce heart,The artsy polkadot,Easter bunny,Dead,Octopus,4:20,Thug,614.4690044,c931b37c65f6881a3762e9d02724488391e2d17b3c460f9db01fa45483656d09,47
#0073 ERGnomes Halloween '21 Special,Joyful,The eggplantboy,Tropical fish,Cardano $ADA,Sherlock,Root,Surprised,613.9820359,a9b8d8c1da5b2a30afe3aad4e869abb36e0429a0e35564086fef79282e568bbd,48
#0485 ERGnomes Halloween '21 Special,Ranger,The rotten potato,Spirit,Thunders,Chicken,Root,Thug,607.4055124,815055921afd74f19a6a19f6f0049696c5eb6a5dbc5dc85269c55d627846b6c2,49
#0193 ERGnomes Halloween '21 Special,Relaxed,Rotten veggies,Banana,Warlock,Chicken,Cat,Annoyed,605.6835638,22ecde9a9b3d918049eb1ba033b3a3827b7d23ef9e92672e4e1b326d3dbd7b9b,50
#0136 ERGnomes Halloween '21 Special,Sweet,Rotten veggies,Easter bunny,Warlock,Sherlock,Root,Thug,588.4570996,c0fbdbf753af2236fdcead3bf27c45115db0165f69be82976aeaad00983d3f51,51
#0151 ERGnomes Halloween '21 Special,Goodboi,The vaporwave,Infested,White spiral,Funkystar,Clown,Thug,587.6744783,cebf809cee03cd15e3c9dd522baa389ecee11e54ca514caede45b1181b55ca7b,52
#0150 ERGnomes Halloween '21 Special,Amiable,The rotten potato,Tropical fish,Bitcoin $BTC,Chicken,Carrot,Annoyed,586.87404,3657d8d453616e38854bb352f3dba3577823d80dd7cdc7452f142fc9d8c9fdbe,53
#0003 ERGnomes Halloween '21 Special,Dusk lover,Unripe lemon,Tropical fish,No Eyes,Sherlock,Pig,Happy,585.6650391,5ee38a11ddb8e2cfa680b6fd103bdf14ae62b9d636e0c2585f3156819ffd24b9,54
#0217 ERGnomes Halloween '21 Special,Thinker,The lovey dovey,Cocker spaniel,Thunders,Devil,Clown,Angry,584.5558141,74d7bf14b940011bd30d3d087e3acfe9891b75c3fca6a2b519dacee21e00a30b,55
#0024 ERGnomes Halloween '21 Special,Horny,The artsy polkadot,Occultist,Dead,Nerd,Cat,Thug,574.5623751,d23aa53a16f67cdce6f5eb53ab5379fb0eddd7533b8c242779fa3d6adde0b4ce,56
#0275 ERGnomes Halloween '21 Special,Smelly,The tribal spirit,Pumpkin,Naughty,Punk,Disguise,Confused,563.4342253,1b40612da48ddee91545faf19edc00e1332f57bc032adcff4917d97a60f2ba4f,57
#0011 ERGnomes Halloween '21 Special,Horny,The lovey dovey,Occultist,Water,Funkystar,Sticknose,Monobrow,557.8454605,187799054f2186bb2b5996804f78482886c93b7b132838b05c20e3a3dff3f20b,58
#0178 ERGnomes Halloween '21 Special,Sweet,The rotten potato,Fairy nymnph,White spiral,Root,Iron,Confused,555.3973946,e9cf778ff450f78043490c42ee874e646d2f73acd7c197ddebd0e259667cae82,59
#0064 ERGnomes Halloween '21 Special,Summer spirit,The eggplantboy,Fairy nymnph,Matrix,Chicken,Sticknose,Monobrow,549.3460461,2a2c9f52fae3f18d8ea286686f6bdd89cc806631cfbc8bcb061b7640be858dcd,60
#0242 ERGnomes Halloween '21 Special,Queen,The tribal spirit,Monkey,Flowers,Octopus,Hook,Surprised,546.5065457,2243def765b25f26079d0904469d1f118f2fa1e64ef69c61c6f0c133bc417d9b,61
#0016 ERGnomes Halloween '21 Special,Art lover,The raging pumpkin,Tropical fish,Drowsy,Circus,Starfish,Annoyed,543.7808904,4192a9d2092ef4b4daae76475319f991a7c1c374615323a2459e8b74fd914873,62
#0406 ERGnomes Halloween '21 Special,Depressed,Fake gold,Dark robot,Warlock,Sherlock,Root,Confused,541.3636585,40674d751dc8953a2454fbe62c04f60d5079ccd9bc62873c5d9287601cb4b500,63
#0305 ERGnomes Halloween '21 Special,Soft spoken,The rotten potato,Cocker spaniel,Matrix,Funkystar,Pig,Surprised,537.8049657,2a8799c84fe26339b68618c6a5a47633e055a2e1ea6420a77d8a27faa1cf94ef,64
#0200 ERGnomes Halloween '21 Special,Dangeous spirit,Charcoal,Sea monster,Strength,Devil,Eggplant,Angry,535.2038397,62ea882b63eee053efb44054cefda31049c5903ea6c06007026a108a97b3be97,65
#0074 ERGnomes Halloween '21 Special,Soldier,Just white,Tropical fish,Rude,Devil,Hook,Chill,516.893217,5d390be9b3ec9212309835d413ccf76aafd796040a300bf7943e66fbc6115377,66
#0163 ERGnomes Halloween '21 Special,Cute,Angry aunt,Imp,Warlock,Chicken,Root,Chill,516.7439822,81dccda29ecafd66a3effaccb8f3880eae588b4cc5bae5b2ca99699ba084c28e,67
#0112 ERGnomes Halloween '21 Special,Amiable,Fairy candy,Banana,Dead,Chicken,Carrot,Thug,502.2756422,9947204dd974d8cde7d6af4f574e3001be58167ea45d1a5a3cda3e07741c0d40,68
#0206 ERGnomes Halloween '21 Special,Summer spirit,The vaporwave,Human,Strength,Funkystar,Hook,Chill,500.3929303,f1b9823065c82328620c4eeb811139e842cac1fa238e98313ca05be554232278,69
#0245 ERGnomes Halloween '21 Special,Sweet,The magical,Human,White spiral,Octopus,Toe,Angry,497.4095771,500ef16bcb02dda691bca47e2a7f8d9dca3543ea4f61690cf51160ce70819237,70
#0154 ERGnomes Halloween '21 Special,Soft spoken,The funky funk,Sea monster,Blockchain,Questionablestyle,Starfish,Annoyed,495.3310158,92f7a835954d3947ce92f732b8c9b38226498f69bc508fa3fe10d9fd015a7b0c,71
#0309 ERGnomes Halloween '21 Special,Soft spoken,The lovey dovey,Occultist,Hearts,Funkystar,4:20,Surprised,487.9502899,49a90abf03454aef38e8ce1f7c3bfb0af597971476a3e3c8d5a5b38188ed420f,72
#0325 ERGnomes Halloween '21 Special,Easily excitable,Potion blue,Easter bunny,4:20,Funkystar,Root,Happy,487.8254318,1a9ebffdd87636a75c5d4efb1cb9c58f31ab0842f609fa7a6761649a60763315,73
#0301 ERGnomes Halloween '21 Special,Night watch,Potion blue,Spirit,Warlock,Octopus,Starfish,Thug,486.7690655,78a575451dfe80e8f39133f5cab892c349405c0755de3330da1987bbfecf2b4c,74
#0258 ERGnomes Halloween '21 Special,Fancy,The lovey dovey,Occultist,Dead,Octopus,Starfish,Worried,485.0461497,232553fbc9186f76555cc78568080708a82c5ad5da612dde596cddba02d1792f,75
#0546 ERGnomes Halloween '21 Special,Artist spirit,The rotten potato,Human,Flowers,Octopus,Cat,Annoyed,483.4847903,2232b91f0a62fb5773171a9b7767d9283d5269b7c5e86065538078bc4e63c1e8,76
#0036 ERGnomes Halloween '21 Special,Artist spirit,Just white,Dark robot,Drowsy,Nerd,Disguise,Thug,483.2827053,a3f5b29910cf77621ab60cb0ed4d930ace358e2b2f1b5bc4360ecc4644ab1d67,77
#0263 ERGnomes Halloween '21 Special,Joyful,Mold,Infested,Warlock,Root,Pig,Worried,483.2278248,3f53725ce99ea07dd056cc517784e9dbcd45617e610ffa8c3f1e2365c1234b8e,78
#0277 ERGnomes Halloween '21 Special,Dangeous spirit,The raging pumpkin,Sea monster,White,Sherlock,Toe,Chill,482.448068,1941ca8417da36fd9b6fbf509c9cdbb977df2d2fc6ac0db0f80c63ef47d06e5f,79
#0330 ERGnomes Halloween '21 Special,One with nature,Potion blue,Infested,Thunders,Chicken,Disguise,Happy,476.9091258,352bfe0f3be47653e97f22d40dc040ea9b85ec02f7b3ef012e38ff815f0d931b,80
#0164 ERGnomes Halloween '21 Special,Goodboi,The tribal spirit,Monkey,Lucky,Chicken,Duck,Happy,473.9167015,0638c030af653b9c9716faa95f006a189fc327151ebb21a869fb4ba0c9eeba1b,81
#0420 ERGnomes Halloween '21 Special,Art lover,Mold,Occultist,Dead,Sherlock,Root,Happy,473.7201346,b30cc75e56a7c2cf6aed30e6e2d70d1703eba5c15c32c841d3fd00268afcafdd,82
#0376 ERGnomes Halloween '21 Special,Artist spirit,Fairy bubblegum,Spirit,KO,Funkystar,Pig,Worried,472.9193478,43b7922d6b66e650aaa661e3464fe909bb1bdc5a1651b20d7331f6048e441862,83
#0043 ERGnomes Halloween '21 Special,Joyful,The raging pumpkin,Banana,Moon,Funkystar,Iron,Happy,469.7500349,67b0c51e2abdfe857cb815e0cf467fb1f9b231cf626611ee53bee55a55925963,84
#0580 ERGnomes Halloween '21 Special,Chill spirit,The fairy,Fairy nymnph,Pink,Octopus,Carrot,Angry,469.1036981,081c372370eddb74c010045e21d23d4c30598176087894d3045f322bbea8a9a6,85
#0321 ERGnomes Halloween '21 Special,Dangeous spirit,Rotten veggies,Occultist,Peace,Devil,Clown,Worried,467.5939427,00ead1bcc4b80f96f53129afda87acc21329e9b50473d53cb9b194ad00e8d03b,86
#0436 ERGnomes Halloween '21 Special,Calm,The eggplantboy,Occultist,Thunders,Sherlock,Root,Surprised,467.1487026,f1fbbfb5dc3e302c8928c4ddaa705ed77a22ad66fa59de5f3d1acec751c11ef4,87
#0069 ERGnomes Halloween '21 Special,Loud,Angry aunt,No ears,White spiral,Nerd,Disguise,Confused,462.3220042,750d0d6d398312f887414e19c238e8bfd7247f65d41c7a52bfea87ffb5656a3f,88
#0273 ERGnomes Halloween '21 Special,Dusk lover,Dying pepper,Sea monster,Dead,Circus,Starfish,Worried,459.072962,a3e442242ab305867b7befff8a18b800535570f9daaa6ae9b707f72ba6824634,89
#0396 ERGnomes Halloween '21 Special,Loud,Fairy bubblegum,Monkey,Warlock,Funkystar,Toe,Happy,453.4693711,745e500edb95cab7448159180ac750ba1f5fb71280a45c45d344a9fb994ca145,90
#0215 ERGnomes Halloween '21 Special,Easily excitable,The artsy polkadot,Fairy nymnph,Cardano $ADA,Devil,Duck,Chill,451.7265504,e49dfca45d69e94fc05b799cfac695f33a78f4dafe489690101c0d6f10e59ae0,91
#0385 ERGnomes Halloween '21 Special,Cute,The artsy polkadot,Imp,No Eyes,Root,Iron,Confused,450.379399,c0752b9d104435c62f4dac3fec1b01c6674e73afe342e580eeabad83fe8e684a,92
#0456 ERGnomes Halloween '21 Special,Karen,The artsy polkadot,Imp,No Eyes,Octopus,Pig,Chill,450.2365058,f6e4cca719b93033ba9bed138c304d392b5a4ec45ab8a638df8bce2d49e99a48,93
#0289 ERGnomes Halloween '21 Special,Soft spoken,The lovey dovey,Cocker spaniel,Lucky,Nerd,Pig,Thug,448.3926667,fca084bc51d0e27b258a4e1ada7adb22c9d53fea5b6990c5f47ba9d29bab4fbf,94
#0300 ERGnomes Halloween '21 Special,Smelly,The tribal spirit,Infested,Water,Devil,Toe,Angry,443.8187104,c73548c1d8b778322ec7df47284acb8412078db180e6104f9f3ddb48e2811f5d,95
#0282 ERGnomes Halloween '21 Special,Dangeous spirit,The eggplantboy,Spirit,Moon,Circus,Toe,Monobrow,442.6986584,68ac9ea28f4e5ede8ed16fa5fb330f861518409fab4e95bc2036d061a0c02e66,96
#0318 ERGnomes Halloween '21 Special,Artist spirit,Classic,Occultist,No eyes,Circus,Duck,Thug,442.3240587,deb659ba5640ace252beca4149434457f49f3f44b5bd70c5d7d8c71841614474,97
#0365 ERGnomes Halloween '21 Special,Relaxed,The artsy polkadot,Occultist,Lucky,Punk,Hook,Annoyed,437.2311828,2acc612e92f7fc434da95dc1fe523ecd9d2f07c2b556ea455c558d515bcacddd,98
#0334 ERGnomes Halloween '21 Special,One with nature,The fairy,Imp,Dead,Circus,Cat,Worried,437.2042752,98c723e780ff3b554661404907fef92f6321d0371cae794681adccacc3a35478,99
#0392 ERGnomes Halloween '21 Special,Night watch,Just white,Monkey,Thunders,Circus,Iron,Worried,434.1706421,4a9b56bb93498046fe5770f49be85b549d23f1339c9d5af87d6a5c47dbea7e6b,100
#0290 ERGnomes Halloween '21 Special,Joyful,Fairy bubblegum,Monkey,Warlock,Funkystar,Pig,Chill,432.6102432,be94bf73d35635609f1669ccfc16fdb22857c209bdef56eb117c85d504675398,101
#0331 ERGnomes Halloween '21 Special,Amiable,The artsy polkadot,Cocker spaniel,Matrix,Funkystar,Eggplant,Surprised,431.3751983,f4d65a1f19dd55a77c45edbebb8945bc4a690665942181562f7370d296644eaf,102
#0537 ERGnomes Halloween '21 Special,Chill spirit,Kawaii,Imp,Cat,Sherlock,Pig,Annoyed,427.3392304,23eb81d85e12f190118628b769e6d4a0d31ee43726730146564cabb52e4120ef,103
#0641 ERGnomes Halloween '21 Special,Summer spirit,Fake gold,Easter bunny,Strength,Octopus,Disguise,Confused,425.2880529,c7866fc20bbab8988e94a03b82cd27ab8d34ba587b327ca64dae73a83790a160,104
#0176 ERGnomes Halloween '21 Special,Feisty,The fairy,Sea monster,4:20,Nerd,Hook,Chill,423.7124609,1a00f3d0c7d4b8769f398d42ff7b64e230e179d61af5343c530ff023e2a9a20e,105
#0104 ERGnomes Halloween '21 Special,Dusk lover,The rotten potato,Dark robot,Peace,Nerd,Duck,Surprised,420.6487026,3f64f8d751954bc875afee83633aa56256feb90abc976fd029cd1c6c412dff55,106
#0510 ERGnomes Halloween '21 Special,Artist spirit,Potion blue,Imp,Lucky,Nerd,Eggplant,Annoyed,419.9830143,1603006b2aa17846dc1c2d18944ba601c585b35d0a80376f966cb2a8f48f6691,107
#0356 ERGnomes Halloween '21 Special,Soft spoken,Radioactive bubblegum,Occultist,4:20,Punk,Iron,Chill,418.7262636,ae0869580e6492dc7f91bc8499efb3758d8a14bfa983b22a82fd3ab9a7565f16,108
#0444 ERGnomes Halloween '21 Special,Night watch,Fairy candy,Monkey,Thunders,Nerd,Cat,Thug,410.3891953,7f0b401ff4fe0cb0498e1d44671ebc69c1b15eac69c65b7cef421c92cbc013a9,109
#0114 ERGnomes Halloween '21 Special,Thinker,The magical,Dark robot,Fire,Devil,Disguise,Happy,407.6788932,d493e847ba40a9a81551250fc42671413966c780ad5ab2bc3257449dbce368a2,110
#0049 ERGnomes Halloween '21 Special,Summer spirit,English tan,Spirit,Peace,Root,Iron,Angry,405.9989419,c31b26be5de01bde98eb9bd963d2ada57020b039943a77a724bcbb072bb53d81,111
#0183 ERGnomes Halloween '21 Special,Ranger,The lovey dovey,Pumpkin,Pink,Punk,Root,Worried,405.0008011,e766e6a5b8683cad50cf61b1909c4dc5a834cee1d4eb159a9e4ada6f82051e15,112
#0470 ERGnomes Halloween '21 Special,Karen,The artsy polkadot,Occultist,Bitcoin $BTC,Funkystar,Iron,Worried,404.7568688,26403f2231a2e791084a1cc0536007084971a0f8c654449fa1c0072f2a9d42e6,113
#0252 ERGnomes Halloween '21 Special,Depressed,The funky funk,Occultist,4:20,Questionablestyle,Eggplant,Annoyed,404.4117947,97264f0c8a015b26a3de411a492d2ec36d3aa8994972108f1e5b19b0f16772d9,114
#0131 ERGnomes Halloween '21 Special,One with nature,Flashy Sandra,Imp,Dead,Punk,Iron,Angry,403.4983005,66980b21ef236b61c8c78f82869fc053d0778213329e8a9757d98444ec553343,115
#0287 ERGnomes Halloween '21 Special,Dusk lover,The popart,Human,Dead,Octopus,Cat,Chill,402.5497733,3dc4fdd0aa2ed3845ba97d758909ce78317dc3499a75dd7d50a31d598bc40a19,116
#0149 ERGnomes Halloween '21 Special,Amiable,The sunset,Banana,Dollars $,Punk,Starfish,Happy,402.2420984,55ca2e173b5debb061f257577f099076d048ab3cdcdf0da390f9ab107a2603e4,117
#0410 ERGnomes Halloween '21 Special,Contrasting vibes,The funky funk,No ears,Fire,Nerd,Clown,Annoyed,400.9164547,f0ec67de9c1b6493c73774f67f2d50a2794b532b03669e86c5b538806faf551b,118
#0435 ERGnomes Halloween '21 Special,Cute,Potion blue,Human,Thunders,Octopus,Disguise,Worried,399.2193927,705e9193d789985adfc8896126bc6271ea463a8ff1c062bce7f59ab260126c3f,119
#0210 ERGnomes Halloween '21 Special,Soldier,The lovey dovey,Cocker spaniel,Cardano $ADA,Root,4:20,Angry,397.4149819,72707355a2c92f565819b839d934c3742011839df2bfaea4ee5cccd9b0dc79df,120
#0501 ERGnomes Halloween '21 Special,Artist spirit,Choking person,Spirit,Water,Nerd,Eggplant,Annoyed,397.262618,dda9b25b94af497d44e24c22310d8442d9c8ae8549da30b0b1e8c3405dd59b0b,121
#0027 ERGnomes Halloween '21 Special,Ranger,The fairy,Human,Thunders,Circus,Starfish,Worried,396.4972045,22cbefc0c752b0e4f4b66dcf856a71706bfe119962439839a55a14ea99ee8269,122
#0028 ERGnomes Halloween '21 Special,Loud,Unripe lemon,Sea monster,Drowsy,Nerd,Sticknose,Thug,394.1917962,b257b1f7dc063b1601a075e093d07ac942eea34e005eee7e22e6834ba77beb8d,123
#0222 ERGnomes Halloween '21 Special,Queen,The artsy polkadot,Imp,Bitcoin $BTC,Questionablestyle,Duck,Confused,393.7263842,6f56b9c0e65c96b052f1d6c3eeabfde4df7fba7e9b871dba6195aabb18eeb71c,124
#0205 ERGnomes Halloween '21 Special,Fierce heart,Smurfkin,Sea monster,Fire,Circus,Disguise,Chill,393.287667,48508d9cd0157db7dcb6c851830d23c9e74bc59c477e6fae473bbcfaa9673c36,125
#0834 ERGnomes Halloween '21 Special,Summer spirit,The lemonboy,Imp,Tears,Nerd,Iron,Annoyed,392.7610614,892c9c971611f14bf1a0a7e59f7f0eeb6fc90f7429f96707f89a021f25fdea73,126
#0270 ERGnomes Halloween '21 Special,Queen,The eggplantboy,Infested,Thunders,Chicken,Pig,Happy,391.932334,ed79de233a8b1354376670d5d356bd3252cf9176ae3c3e7569351d94a9f17697,127
#0293 ERGnomes Halloween '21 Special,Radioactive,The vaporwave,Infested,4:20,Nerd,Carrot,Happy,391.1478477,25e252c1f17221414d2c32a478b7041acf4f1cb34f9f7320aa9f8ccb3e22cec8,128
